city,geoid,Total Population (2020-2024),Total Housing Units (2020-2024),Rental Vacancy Rate (2020-2024),Median Household Income (2020-2024),likely_reason,confidence
Austin,76530,2598,1059,13.008130081300814,106250.0,Insufficient rental market data - possibly owner-dominated area,Low
Austin,76573,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Austin,78615,1637,586,0.0,80938.0,Insufficient rental market data - possibly owner-dominated area,Low
Austin,78622,331,162,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Austin,78632,1245,655,0.0,62500.0,Insufficient rental market data - possibly owner-dominated area,Low
Austin,78659,2660,1344,0.0,89808.0,Insufficient rental market data - possibly owner-dominated area,Low
Austin,78661,835,241,28.57142857142857,82896.0,High rental vacancy - economic distress or redevelopment,Medium
Austin,78662,3015,1454,0.0,94005.0,Insufficient rental market data - possibly owner-dominated area,Low
Austin,78674,108,44,100.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone; Extremely high rental vacancy - area in transition or special circumstances,High
Austin,78712,201,0,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
Austin,78953,1089,640,0.0,83438.0,Insufficient rental market data - possibly owner-dominated area,Low
Charlotte,28006,1518,625,0.0,51932.0,Insufficient rental market data - possibly owner-dominated area,Low
Charlotte,28039,39,28,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Charlotte,28041,3,3,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Charlotte,28088,3054,1424,0.0,59872.0,Insufficient rental market data - possibly owner-dominated area,Low
Charlotte,28102,164,49,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
Charlotte,28108,34,39,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone; Low occupancy rate - possible vacation homes or investment properties,High
Charlotte,28223,4953,9,100.0,,Very few housing units - likely commercial/industrial zone; Extremely high rental vacancy - area in transition or special circumstances; High occupancy - possible group housing or institutional,High
Charlotte,28244,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Charlotte,28274,747,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Charlotte,28280,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Charlotte,28282,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Charlotte,29014,1595,795,0.0,62422.0,Insufficient rental market data - possibly owner-dominated area,Low
Charlotte,29704,3060,1348,0.0,74303.0,Insufficient rental market data - possibly owner-dominated area,Low
Charlotte,29712,2047,973,0.0,62656.0,Insufficient rental market data - possibly owner-dominated area,Low
Charlotte,29724,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Charlotte,29733,1468,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Columbus,43002,1205,577,0.0,102153.0,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,43007,63,45,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Columbus,43018,286,194,0.0,110481.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Columbus,43027,185,61,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Columbus,43029,544,186,0.0,107744.0,Limited housing - possibly mixed-use or institutional area,Medium
Columbus,43030,249,101,0.0,213021.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Columbus,43032,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Columbus,43066,1368,568,0.0,129012.0,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,43117,7,7,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Columbus,43127,257,140,0.0,67500.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Columbus,43137,2415,1146,0.0,49145.0,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,43152,941,401,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,43210,12164,234,67.08860759493672,34423.0,Extremely high rental vacancy - area in transition or special circumstances; High occupancy - possible group housing or institutional,High
Columbus,43218,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Columbus,43325,70,71,0.0,,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
Columbus,43340,2103,713,0.0,72446.0,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,43721,196,57,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Columbus,43760,1493,668,9.183673469387756,79783.0,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,43761,45,31,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Columbus,45622,686,281,0.0,48556.0,Insufficient rental market data - possibly owner-dominated area,Low
Columbus,45654,746,337,0.0,46111.0,Insufficient rental market data - possibly owner-dominated area,Low
Denver,80024,33,33,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Denver,80118,5632,2270,8.51063829787234,158155.0,High income area - possible luxury/custom housing market,Medium
Denver,80131,276,128,0.0,107250.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Denver,80137,1689,594,75.0,134890.0,Extremely high rental vacancy - area in transition or special circumstances,High
Denver,80264,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Denver,80266,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Denver,80293,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Denver,80294,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Denver,80419,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Denver,80425,243,173,100.0,82188.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; Extremely high rental vacancy - area in transition or special circumstances,High
Denver,80432,293,750,0.0,44605.0,Low population - possibly rural or special use area; Low occupancy rate - possible vacation homes or investment properties,High
Denver,80436,348,288,0.0,59091.0,Low population - possibly rural or special use area,High
Denver,80448,0,197,0.0,,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
Denver,80449,916,929,0.0,59635.0,Low occupancy rate - possible vacation homes or investment properties,Medium
Denver,80453,297,161,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Denver,80454,986,481,0.0,178980.0,High income area - possible luxury/custom housing market,Medium
Denver,80456,507,1179,0.0,,Low occupancy rate - possible vacation homes or investment properties,Medium
Denver,80457,283,143,0.0,235160.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Denver,80474,264,119,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Denver,80475,39,63,0.0,,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
Denver,80820,427,577,0.0,49375.0,Low population - possibly rural or special use area; Low occupancy rate - possible vacation homes or investment properties,High
Denver,80827,808,806,0.0,88125.0,Insufficient rental market data - possibly owner-dominated area,Low
Denver,80830,176,89,12.5,76250.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Indianapolis,46045,162,47,0.0,160912.0,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone; High income area - possible luxury/custom housing market,High
Indianapolis,46047,49,25,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Indianapolis,46110,917,290,0.0,68714.0,Insufficient rental market data - possibly owner-dominated area,Low
Indianapolis,46117,527,261,0.0,91250.0,Insufficient rental market data - possibly owner-dominated area,Low
Indianapolis,46125,6,3,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Indianapolis,46144,216,110,0.0,108333.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Indianapolis,46154,189,25,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone; High occupancy - possible group housing or institutional,High
Indianapolis,46162,227,93,0.0,117969.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Indianapolis,46180,1085,425,0.0,90208.0,Insufficient rental market data - possibly owner-dominated area,Low
Indianapolis,46183,34,78,0.0,,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
Indianapolis,46206,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Indianapolis,46290,81,57,0.0,,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area,High
Indianapolis,47234,1617,609,0.0,101708.0,Insufficient rental market data - possibly owner-dominated area,Low
Indianapolis,47435,137,79,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Jacksonville,32072,43,47,100.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone; Extremely high rental vacancy - area in transition or special circumstances; Low occupancy rate - possible vacation homes or investment properties,High
Jacksonville,32081,29784,11028,0.0,131624.0,Insufficient rental market data - possibly owner-dominated area,Low
Jacksonville,32087,4608,1379,0.0,67097.0,Insufficient rental market data - possibly owner-dominated area,Low
Jacksonville,32203,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Jacksonville,32214,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Jacksonville,32228,222,0,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
Louisville,40003,1807,769,0.0,97681.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40007,47,70,0.0,64417.0,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; Low occupancy rate - possible vacation homes or investment properties,High
Louisville,40010,678,223,0.0,196125.0,High income area - possible luxury/custom housing market,Medium
Louisville,40012,712,266,0.0,105033.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40020,199,119,0.0,90712.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Louisville,40022,903,357,0.0,98333.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40025,565,216,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40036,164,67,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Louisville,40041,564,268,14.22222222222222,153214.0,High income area - possible luxury/custom housing market,Medium
Louisville,40046,1122,546,0.0,66000.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40052,655,252,0.0,45750.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40058,37,25,0.0,66635.0,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Louisville,40104,1143,456,0.0,71111.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40109,2376,1031,0.0,75495.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40110,440,147,0.0,46756.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Louisville,40142,2253,896,0.0,81037.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40157,854,346,0.0,58750.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40161,182,125,0.0,74348.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Louisville,40176,898,421,0.0,62422.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,40221,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Louisville,40231,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Louisville,40280,182,0,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
Louisville,47104,9,41,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone; Low occupancy rate - possible vacation homes or investment properties,High
Louisville,47110,481,283,70.96774193548387,,Low population - possibly rural or special use area; Extremely high rental vacancy - area in transition or special circumstances,High
Louisville,47135,1257,561,17.1875,48611.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,47163,1335,588,0.0,59837.0,Insufficient rental market data - possibly owner-dominated area,Low
Louisville,47281,1541,636,0.0,96250.0,Insufficient rental market data - possibly owner-dominated area,Low
Miami,33022,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Miami,33039,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Miami,33101,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Miami,33109,1083,761,48.78048780487805,,High rental vacancy - economic distress or redevelopment,Medium
Miami,33149,14791,7310,16.32751937984496,181505.0,High income area - possible luxury/custom housing market,Medium
Miami,33158,5960,2160,16.666666666666664,201597.0,High income area - possible luxury/custom housing market,Medium
Miami,33332,10920,3461,5.894736842105263,172730.0,High income area - possible luxury/custom housing market,Medium
Miami,33388,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Miami,33473,11825,4732,48.40425531914894,145691.0,High rental vacancy - economic distress or redevelopment,Medium
Miami,33498,16853,5780,7.987220447284344,146765.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,37010,5435,1899,3.4090909090909087,118179.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,37014,3227,1391,73.33333333333333,105125.0,Extremely high rental vacancy - area in transition or special circumstances,High
Nashville,37031,3926,1804,0.0,98114.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,37046,7310,2847,15.86021505376344,178228.0,High income area - possible luxury/custom housing market,Medium
Nashville,37118,1094,480,0.0,74592.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,37132,2704,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Nashville,37140,1494,166,0.0,62232.0,Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional,Medium
Nashville,37149,2602,1132,0.0,78345.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,37151,457,196,0.0,102168.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Nashville,37165,35,31,0.0,36000.0,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Nashville,37213,25,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Nashville,37232,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Nashville,37238,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Nashville,38461,1460,632,0.0,66406.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,38476,1228,421,0.0,83654.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,38482,2017,793,0.0,90272.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,38487,746,509,0.0,104458.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,38547,2088,847,0.0,80843.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,38552,472,178,0.0,71250.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Nashville,38567,1065,499,0.0,100368.0,Insufficient rental market data - possibly owner-dominated area,Low
Nashville,38569,390,281,0.0,,Low population - possibly rural or special use area,High
Orlando,32702,2636,1581,3.5294117647058822,50935.0,Insufficient rental market data - possibly owner-dominated area,Low
Orlando,32709,1696,689,0.0,73224.0,Insufficient rental market data - possibly owner-dominated area,Low
Orlando,32732,5275,2068,0.0,119205.0,Insufficient rental market data - possibly owner-dominated area,Low
Orlando,32768,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Orlando,32816,12624,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Orlando,32830,197,101,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Orlando,32831,2527,44,0.0,67917.0,Very few housing units - likely commercial/industrial zone; High occupancy - possible group housing or institutional,High
Orlando,33848,638,415,0.0,74750.0,Insufficient rental market data - possibly owner-dominated area,Low
Orlando,34729,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Orlando,34739,1176,668,0.0,101319.0,Insufficient rental market data - possibly owner-dominated area,Low
