geoid,city,Total Population (2020-2024),Commute Transportation by Public Transit (2020-2024),urban_classification,Median Home Rent (2020-2024)
33019,Miami,14293,48,Rural,2117.0
33062,Miami,24920,12,Rural,1971.0
33122,Miami,1687,0,Rural,2514.0
33306,Miami,2978,0,Rural,1810.0
33408,Miami,18817,6,Rural,1912.0
33432,Miami,21834,14,Rural,2361.0
33434,Miami,21686,49,Rural,1598.0
33438,Miami,257,0,Rural,1431.0
33469,Miami,14686,18,Rural,1908.0
33477,Miami,12908,30,Rural,2653.0
33480,Miami,10924,14,Rural,2293.0
33484,Miami,26208,23,Rural,2087.0
33540,Tampa,11390,0,Rural,1107.0
33541,Tampa,24654,22,Rural,1233.0
33542,Tampa,23612,1,Rural,1141.0
33573,Tampa,35362,21,Rural,2230.0
33576,Tampa,6273,10,Rural,998.0
33621,Tampa,2393,0,Suburban,2703.0
33706,Tampa,15298,6,Rural,1733.0
33707,Tampa,24324,26,Rural,1605.0
33708,Tampa,15060,0,Rural,1987.0
33715,Tampa,8032,0,Rural,2680.0
33762,Tampa,5063,9,Rural,1792.0
33767,Tampa,8081,0,Rural,2539.0
33774,Tampa,19799,2,Rural,1545.0
33785,Tampa,4907,0,Rural,1948.0
34607,Tampa,9496,0,Rural,1373.0
34613,Tampa,19337,10,Rural,1141.0
34684,Tampa,27029,34,Rural,1854.0
34689,Tampa,27324,9,Rural,1289.0
34690,Tampa,12498,31,Rural,1285.0
76511,Austin,2702,0,Suburban,774.0
76527,Austin,4918,0,Suburban,658.0
76578,Austin,1762,0,Rural,1177.0
78633,Austin,29309,0,Rural,1998.0
78645,Austin,15256,0,Rural,1608.0
78650,Austin,2409,0,Suburban,1375.0
78655,Austin,3730,0,Suburban,1093.0
78656,Austin,2847,0,Suburban,1629.0
78701,Austin,11824,32,Rural,2759.0
78719,Austin,1796,0,Rural,1656.0
78729,Austin,30460,34,Rural,1678.0
78742,Austin,847,17,Rural,1328.0
80045,Denver,1676,65,Urban,2042.0
80101,Denver,423,0,Rural,1375.0
80103,Denver,3215,0,Suburban,1860.0
80105,Denver,2182,0,Suburban,1031.0
80290,Denver,474,0,Rural,2306.0
80420,Denver,1246,0,Rural,2295.0
80421,Denver,8536,16,Rural,1962.0
80427,Denver,567,0,Rural,1482.0
80438,Denver,970,24,Rural,1444.0
80440,Denver,3502,0,Rural,2166.0
80444,Denver,1053,16,Rural,1434.0
80452,Denver,3135,0,Rural,1524.0
80470,Denver,3608,0,Rural,2238.0
80476,Denver,159,0,Rural,985.0
80816,Denver,6251,0,Rural,2415.0
80828,Denver,2427,0,Suburban,893.0
80832,Denver,1019,0,Rural,1042.0
80835,Denver,643,0,Rural,1042.0
32102,Orlando,2371,0,Rural,1055.0
32159,Orlando,32107,23,Rural,1401.0
32751,Orlando,22103,28,Rural,1995.0
32767,Orlando,3408,0,Suburban,971.0
32798,Orlando,2782,0,Rural,1131.0
32821,Orlando,26161,40,Rural,1913.0
34731,Orlando,12196,0,Rural,1286.0
34734,Orlando,3940,0,Suburban,1930.0
34788,Orlando,22137,0,Rural,1438.0
43001,Columbus,2892,0,Suburban,1230.0
43003,Columbus,3723,0,Suburban,1054.0
43008,Columbus,2434,0,Rural,860.0
43013,Columbus,1754,0,Rural,1146.0
43033,Columbus,387,0,Rural,1292.0
43036,Columbus,359,0,Rural,1000.0
43044,Columbus,4964,0,Suburban,830.0
43045,Columbus,1739,0,Rural,1438.0
43046,Columbus,2946,0,Rural,1030.0
43067,Columbus,1884,0,Rural,1368.0
43071,Columbus,2371,0,Suburban,639.0
43077,Columbus,269,0,Rural,967.0
43102,Columbus,3711,0,Suburban,963.0
43107,Columbus,3791,0,Suburban,1028.0
43109,Columbus,152,1,Rural,1131.0
43111,Columbus,249,0,Rural,987.0
43112,Columbus,4909,0,Suburban,1030.0
43115,Columbus,1796,0,Rural,894.0
43116,Columbus,2684,0,Suburban,1750.0
43126,Columbus,306,0,Rural,683.0
43135,Columbus,3937,0,Rural,679.0
43144,Columbus,295,0,Rural,765.0
43145,Columbus,2070,0,Suburban,833.0
43148,Columbus,1898,0,Rural,968.0
43149,Columbus,2129,0,Rural,1046.0
43150,Columbus,2300,0,Suburban,869.0
43151,Columbus,233,0,Rural,1102.0
43153,Columbus,1112,0,Rural,1000.0
43154,Columbus,3367,0,Suburban,1134.0
43155,Columbus,2361,0,Rural,680.0
43156,Columbus,237,0,Rural,850.0
43157,Columbus,597,0,Rural,1161.0
43158,Columbus,160,0,Rural,956.0
43217,Columbus,2091,0,Suburban,1287.0
43317,Columbus,173,0,Rural,1083.0
43320,Columbus,1189,5,Rural,975.0
43321,Columbus,378,0,Rural,850.0
43350,Columbus,146,0,Rural,983.0
43356,Columbus,1120,0,Rural,790.0
43358,Columbus,2275,0,Suburban,1122.0
43730,Columbus,2749,0,Suburban,811.0
43739,Columbus,2508,0,Suburban,1114.0
43740,Columbus,261,0,Rural,744.0
43748,Columbus,2980,0,Suburban,747.0
43766,Columbus,1310,0,Rural,558.0
43782,Columbus,544,0,Rural,665.0
44833,Columbus,15892,0,Rural,823.0
45732,Columbus,4287,0,Rural,697.0
27054,Charlotte,1931,0,Rural,775.0
28007,Charlotte,879,0,Rural,776.0
28032,Charlotte,2869,0,Rural,1010.0
28033,Charlotte,3481,0,Suburban,922.0
28071,Charlotte,4219,0,Suburban,841.0
28072,Charlotte,672,3,Rural,682.0
28077,Charlotte,258,0,Rural,845.0
28091,Charlotte,2285,0,Suburban,854.0
28098,Charlotte,3851,0,Suburban,1603.0
28101,Charlotte,898,5,Rural,1083.0
28119,Charlotte,2182,0,Rural,816.0
28125,Charlotte,2765,0,Suburban,1149.0
28133,Charlotte,2060,0,Rural,700.0
28135,Charlotte,4655,0,Suburban,1034.0
28137,Charlotte,2664,18,Rural,1176.0
28159,Charlotte,3250,0,Suburban,932.0
28660,Charlotte,2501,0,Suburban,1073.0
28689,Charlotte,2188,0,Suburban,900.0
29031,Charlotte,1617,0,Rural,1065.0
29055,Charlotte,3924,0,Suburban,819.0
29714,Charlotte,3462,0,Suburban,1335.0
29717,Charlotte,1644,0,Rural,1132.0
29726,Charlotte,1985,32,Rural,1528.0
29729,Charlotte,2247,0,Suburban,1000.0
29742,Charlotte,2492,0,Suburban,1097.0
29743,Charlotte,1826,0,Rural,862.0
37012,Nashville,2118,0,Suburban,749.0
37016,Nashville,900,54,Urban,1094.0
37026,Nashville,2054,0,Rural,934.0
37051,Nashville,3765,0,Suburban,867.0
37057,Nashville,1016,0,Rural,1094.0
37060,Nashville,3396,0,Suburban,1348.0
37095,Nashville,1697,0,Rural,531.0
37137,Nashville,2090,0,Rural,819.0
37141,Nashville,1618,0,Rural,1188.0
37145,Nashville,2442,0,Rural,729.0
37150,Nashville,4476,0,Rural,757.0
37181,Nashville,1886,0,Rural,554.0
37189,Nashville,3442,0,Suburban,1367.0
37201,Nashville,1467,0,Rural,1944.0
37215,Nashville,22018,33,Rural,1983.0
38451,Nashville,4145,0,Suburban,1099.0
38454,Nashville,1084,0,Rural,1368.0
38548,Nashville,1154,0,Rural,813.0
38560,Nashville,1432,0,Rural,777.0
38563,Nashville,1826,0,Rural,855.0
40011,Louisville,2379,0,Suburban,879.0
40019,Louisville,4238,0,Suburban,837.0
40050,Louisville,2045,0,Suburban,722.0
40055,Louisville,1942,0,Rural,1348.0
40056,Louisville,3441,0,Suburban,1648.0
40057,Louisville,4065,0,Suburban,1171.0
40068,Louisville,2570,0,Suburban,1036.0
40070,Louisville,360,0,Rural,1523.0
40075,Louisville,1151,0,Rural,675.0
40077,Louisville,678,0,Rural,923.0
40107,Louisville,2187,0,Suburban,1053.0
40117,Louisville,2050,0,Suburban,929.0
40150,Louisville,4950,0,Suburban,850.0
40155,Louisville,1127,0,Rural,879.0
40177,Louisville,1523,11,Rural,807.0
40206,Louisville,20161,32,Rural,1187.0
40209,Louisville,639,0,Rural,984.0
40222,Louisville,21470,7,Rural,1426.0
40243,Louisville,12002,0,Rural,1444.0
47106,Louisville,4670,0,Suburban,943.0
47108,Louisville,2155,0,Suburban,744.0
47114,Louisville,484,0,Rural,848.0
47115,Louisville,2782,0,Suburban,632.0
47117,Louisville,4400,0,Suburban,860.0
47120,Louisville,960,0,Rural,1056.0
47125,Louisville,1988,0,Rural,875.0
47136,Louisville,4756,0,Suburban,965.0
47141,Louisville,1584,0,Rural,1167.0
47142,Louisville,653,0,Rural,630.0
47143,Louisville,3833,0,Suburban,1713.0
47147,Louisville,1317,0,Rural,1403.0
47160,Louisville,55,0,Rural,950.0
47161,Louisville,3611,0,Suburban,856.0
47162,Louisville,514,0,Rural,960.0
47166,Louisville,1484,0,Rural,1305.0
47177,Louisville,1782,0,Rural,1167.0
78003,SanAntonio,9967,0,Rural,1216.0
78013,SanAntonio,4809,0,Suburban,969.0
78055,SanAntonio,1753,0,Rural,929.0
78113,SanAntonio,3026,0,Suburban,1125.0
78140,SanAntonio,3474,0,Suburban,845.0
78147,SanAntonio,1532,0,Rural,950.0
78152,SanAntonio,4521,0,Suburban,1824.0
78205,SanAntonio,1538,12,Rural,1276.0
78215,SanAntonio,3506,40,Rural,1767.0
78235,SanAntonio,2304,45,Rural,1519.0
78256,SanAntonio,13453,23,Rural,1600.0
78257,SanAntonio,10992,0,Rural,1689.0
78263,SanAntonio,4253,0,Suburban,1370.0
78638,SanAntonio,2135,0,Suburban,1135.0
78655,SanAntonio,3730,0,Suburban,1093.0
78670,SanAntonio,130,0,Rural,1225.0
78850,SanAntonio,779,0,Rural,1175.0
78884,SanAntonio,1171,0,Rural,813.0
94020,SanFrancisco,1694,0,Rural,1715.0
94037,SanFrancisco,2917,0,Suburban,3032.0
94060,SanFrancisco,1465,0,Rural,850.0
94104,SanFrancisco,498,55,Urban,773.0
94511,SanFrancisco,1864,0,Rural,1606.0
94514,SanFrancisco,1953,2,Rural,2652.0
94516,SanFrancisco,214,0,Rural,1292.0
94924,SanFrancisco,1372,39,Rural,1924.0
94937,SanFrancisco,1009,0,Rural,1647.0
94946,SanFrancisco,715,5,Rural,2300.0
94956,SanFrancisco,1080,0,Rural,1990.0
94973,SanFrancisco,1689,0,Rural,2395.0
46030,Indianapolis,3035,0,Suburban,959.0
46035,Indianapolis,1348,0,Rural,821.0
46049,Indianapolis,763,0,Rural,829.0
46050,Indianapolis,1808,0,Rural,952.0
46056,Indianapolis,2076,0,Suburban,1085.0
46063,Indianapolis,229,0,Rural,733.0
46070,Indianapolis,2100,0,Suburban,760.0
46076,Indianapolis,1630,0,Rural,863.0
46102,Indianapolis,390,0,Rural,1042.0
46103,Indianapolis,361,0,Rural,950.0
46111,Indianapolis,448,0,Rural,587.0
46118,Indianapolis,4709,0,Suburban,982.0
46126,Indianapolis,3902,0,Suburban,988.0
46130,Indianapolis,2455,0,Suburban,1065.0
46147,Indianapolis,2518,0,Suburban,929.0
46149,Indianapolis,1952,0,Rural,1237.0
46157,Indianapolis,4558,0,Suburban,821.0
46161,Indianapolis,2347,0,Suburban,974.0
46164,Indianapolis,3840,3,Rural,881.0
46165,Indianapolis,1992,0,Rural,1613.0
46166,Indianapolis,2813,0,Suburban,1102.0
46182,Indianapolis,1803,0,Rural,1600.0
46186,Indianapolis,1816,0,Rural,485.0
46216,Indianapolis,2767,0,Rural,1301.0
46225,Indianapolis,6037,0,Rural,1119.0
46240,Indianapolis,19595,2,Rural,1311.0
46280,Indianapolis,7514,0,Rural,1771.0
47235,Indianapolis,1672,0,Rural,687.0
47272,Indianapolis,1844,0,Rural,919.0
47448,Indianapolis,8117,1,Rural,915.0
47456,Indianapolis,1455,0,Rural,958.0
47468,Indianapolis,1303,0,Rural,1652.0
32009,Jacksonville,4045,0,Suburban,919.0
32033,Jacksonville,4556,0,Rural,1752.0
32034,Jacksonville,41029,0,Rural,1605.0
32079,Jacksonville,419,0,Rural,1837.0
32080,Jacksonville,20894,0,Rural,1788.0
32082,Jacksonville,29289,0,Rural,1925.0
32204,Jacksonville,9151,15,Rural,1167.0
32212,Jacksonville,1939,0,Rural,2205.0
32227,Jacksonville,3207,0,Suburban,1799.0
32250,Jacksonville,29072,12,Rural,1787.0
32256,Jacksonville,58192,50,Rural,1698.0
32266,Jacksonville,7168,0,Rural,1763.0
8019,Philadelphia,907,0,Rural,2031.0
8023,Philadelphia,375,0,Rural,2141.0
8067,Philadelphia,1711,0,Rural,1839.0
8511,Philadelphia,976,0,Rural,1150.0
8562,Philadelphia,4201,0,Suburban,1214.0
8641,Philadelphia,4400,0,Suburban,2541.0
18054,Philadelphia,4932,0,Suburban,1779.0
18915,Philadelphia,1648,22,Rural,1473.0
18917,Philadelphia,2216,0,Suburban,1418.0
18923,Philadelphia,984,0,Rural,2253.0
18942,Philadelphia,2377,13,Rural,1496.0
18955,Philadelphia,1511,0,Rural,1492.0
18970,Philadelphia,553,0,Rural,1418.0
18972,Philadelphia,3104,0,Suburban,1364.0
19009,Philadelphia,1124,33,Rural,1593.0
19358,Philadelphia,191,0,Rural,1125.0
19372,Philadelphia,1854,0,Rural,2039.0
19374,Philadelphia,434,0,Rural,969.0
19453,Philadelphia,1259,0,Rural,2186.0
19492,Philadelphia,811,0,Rural,2520.0
21912,Philadelphia,1536,0,Rural,817.0
21913,Philadelphia,820,0,Rural,1149.0
21914,Philadelphia,810,0,Rural,1522.0
21915,Philadelphia,2471,0,Rural,825.0
21918,Philadelphia,4169,0,Suburban,876.0
21919,Philadelphia,3626,3,Rural,1746.0
21920,Philadelphia,1413,0,Rural,1346.0
