"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","1208","411","121","1203","1582","47","106","566","2","658","4305","0","857","860","86","748","1484","4544","2","3212"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","9279","4438","1","2827","472","9434","2711","4248","1518","361","60","7","1120","4029","14948","909","829","515","25","402"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","1256","1246","12","29","869","546","128","5632","48","93","1348","9","506","674","33","153","1614","305","0","1073"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","133","11","0","0","84","1","22","106","0","0","56","0","51","20","696","18","230","4","0","8"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","562","94","0","17","217","151","150","478","7","8","367","2","80","31","0","223","1152","245","0","210"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","1217","768","1","174","525","1502","418","1333","69","0","775","26","286","306","0","123","1421","1495","0","137"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","2364","5536","4","157","341","8489","2889","46287","617","196","408","10","489","2966","49","476","2432","31","0","254"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","3722","3066","1","81","420","1683","8626","4898","159","27","154","50","780","2736","1","852","3585","326","1","779"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","805","30","0","8","393","2079","135","628","33","0","868","0","214","94","0","41","1073","21","0","757"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","2826","1348","0","370","674","20408","2022","2197","256","40","981","3","949","4052","179","355","5446","862","0","595"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","399","228","0","62","862","295","65","828","23","5","7","4","135","194","161","17","772","25","13","6"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","2630","861","0","80","125","166","17818","6171","146","284","326","3","853","3473","64","383","1560","97","0","391"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","214","14","0","10","72","1374","8","129","0","0","12","0","14","42","0","21","194","13","0","0"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","4","17","0","0","10","4","0","0","0","0","2","0","0","567","0","0","0","0","0","0"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","21","8","40","0","73","0","0","0","0","0","13","49","26","2","0","0","94","72","12","13"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","618","29","36","10","152","492","95","300","34","1","31","0","91","112","74","23","319","47","93","21"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","0","5","0","0","45","0","0","20","0","1","2","0","0","11","0","0","1","1","0","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","0","11","20","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","1623","572","116","300","2139","1990","846","2195","82","87","891","141","557","1058","714","307","2938","284","40","522"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","319","91","15","83","515","0","89","187","7","6","58","2","56","89","28","8","503","3","18","52"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","177","78","8","197","277","169","86","48","20","18","66","10","322","216","83","68","116","27","0","183"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","12","3","42","0","23","105","1","0","0","0","2","556","89","1","22","0","48","118","0","6"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","0","0","0","0","6","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","184","45","32","22","145","328","55","168","24","0","35","91","45","193","71","24","421","29","11","39"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","143","23","11","29","682","23","25","83","13","2","128","71","47","33","0","20","201","1","20","49"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","322","159","1","2","351","615","48","246","2","0","52","18","95","139","54","65","373","27","20","34"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","904","228","3","114","932","52","102","385","64","3","214","113","279","367","0","161","773","152","37","103"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","116","39","43","3","116","307","18","185","4","0","131","739","13","96","505","18","124","26","179","21"
"publicpolygonfeature:5:59696","ZIP Code 78027","country:us/state:tx/zip:78027","78027","0","0","1","8","63","0","0","0","0","0","11","0","50","28","0","0","0","0","0","6"
"publicpolygonfeature:5:59701","ZIP Code 78039","country:us/state:tx/zip:78039","78039","4","59","4","0","25","1","6","13","2","0","13","0","0","0","13","3","18","2","0","26"
"publicpolygonfeature:5:59703","ZIP Code 78050","country:us/state:tx/zip:78050","78050","0","0","0","0","5","0","0","0","0","0","0","2","0","0","0","11","10","0","0","0"
"publicpolygonfeature:5:59704","ZIP Code 78052","country:us/state:tx/zip:78052","78052","149","147","4","0","41","409","45","371","0","0","6","5","50","48","38","41","360","2","25","22"
"publicpolygonfeature:5:59706","ZIP Code 78055","country:us/state:tx/zip:78055","78055","60","0","34","4","40","0","0","63","5","0","0","0","2","3","0","3","62","0","0","0"
"publicpolygonfeature:5:59707","ZIP Code 78123","country:us/state:tx/zip:78123","78123","171","120","2","3","31","7","0","2","0","0","142","3","18","8","0","11","33","16","0","15"
"publicpolygonfeature:5:59708","ZIP Code 78209","country:us/state:tx/zip:78209","78209","4410","1031","87","982","457","1347","1006","2537","137","159","141","215","1249","2131","134","2707","3957","457","14","346"
"publicpolygonfeature:5:59709","ZIP Code 78056","country:us/state:tx/zip:78056","78056","4","1","3","3","76","0","4","8","0","0","7","38","1","7","0","0","9","49","0","55"
"publicpolygonfeature:5:59710","ZIP Code 78063","country:us/state:tx/zip:78063","78063","65","26","26","8","140","3","6","32","1","0","4","2","61","44","0","12","110","22","4","12"
"publicpolygonfeature:5:59711","ZIP Code 78057","country:us/state:tx/zip:78057","78057","2","0","30","0","12","0","0","2","0","0","0","127","10","3","0","0","6","0","4","0"
"publicpolygonfeature:5:59713","ZIP Code 78059","country:us/state:tx/zip:78059","78059","31","0","4","0","86","313","8","0","3","0","23","6","12","0","14","0","111","11","25","9"
"publicpolygonfeature:5:59715","ZIP Code 78210","country:us/state:tx/zip:78210","78210","642","371","5","77","472","96","45","258","2","1","664","0","287","223","2","39","343","47","0","462"
"publicpolygonfeature:5:59717","ZIP Code 78064","country:us/state:tx/zip:78064","78064","758","50","68","6","551","741","148","594","17","3","1068","1392","140","212","165","170","922","533","23","535"
"publicpolygonfeature:5:59719","ZIP Code 78065","country:us/state:tx/zip:78065","78065","39","28","181","23","49","398","0","18","0","0","80","222","14","26","65","0","125","14","0","1"
"publicpolygonfeature:5:59720","ZIP Code 78066","country:us/state:tx/zip:78066","78066","0","0","0","6","22","0","0","0","5","0","0","16","8","0","0","0","3","0","0","3"
"publicpolygonfeature:5:59721","ZIP Code 78211","country:us/state:tx/zip:78211","78211","399","126","0","0","127","47","58","1164","0","1","577","0","176","99","0","15","1187","216","0","102"
"publicpolygonfeature:5:59723","ZIP Code 78069","country:us/state:tx/zip:78069","78069","51","42","1","8","24","631","7","7","0","0","0","1","17","0","32","2","68","10","0","53"
"publicpolygonfeature:5:59724","ZIP Code 78101","country:us/state:tx/zip:78101","78101","47","103","3","3","415","3","1","2","2","0","50","39","23","26","0","7","154","30","33","2"
"publicpolygonfeature:5:59725","ZIP Code 78070","country:us/state:tx/zip:78070","78070","877","426","19","124","609","141","63","483","276","186","95","42","153","513","1","94","827","61","13","101"
"publicpolygonfeature:5:59729","ZIP Code 78112","country:us/state:tx/zip:78112","78112","59","5","0","0","90","0","0","0","12","2","143","68","111","55","35","6","66","91","0","359"
"publicpolygonfeature:5:59730","ZIP Code 78147","country:us/state:tx/zip:78147","78147","27","4","0","0","47","0","32","16","0","0","89","2","5","7","0","0","98","19","0","2"
"publicpolygonfeature:5:59731","ZIP Code 78212","country:us/state:tx/zip:78212","78212","2368","1420","36","131","866","3124","437","5981","77","36","466","40","1006","2341","50","389","1701","1820","2009","251"
"publicpolygonfeature:5:59733","ZIP Code 78073","country:us/state:tx/zip:78073","78073","43","41","14","2","185","0","9","1","0","0","463","142","137","43","14","12","403","300","0","33"
"publicpolygonfeature:5:59738","ZIP Code 78108","country:us/state:tx/zip:78108","78108","661","198","2","27","373","119","120","291","64","5","96","829","215","121","272","79","1039","112","0","168"
"publicpolygonfeature:5:59739","ZIP Code 78109","country:us/state:tx/zip:78109","78109","873","141","0","28","1287","128","37","524","43","0","427","51","337","458","261","109","951","278","0","576"
"publicpolygonfeature:5:59740","ZIP Code 78113","country:us/state:tx/zip:78113","78113","11","3","31","0","35","130","2","1","0","0","47","14","1","4","21","9","23","6","12","29"
"publicpolygonfeature:5:59741","ZIP Code 78114","country:us/state:tx/zip:78114","78114","317","111","100","74","343","655","87","806","44","0","311","262","134","275","172","24","771","43","68","62"
"publicpolygonfeature:5:59743","ZIP Code 78124","country:us/state:tx/zip:78124","78124","86","113","29","31","292","0","19","13","0","0","799","0","19","28","15","86","79","44","57","67"
"publicpolygonfeature:5:59746","ZIP Code 78130","country:us/state:tx/zip:78130","78130","6217","1375","19","2124","2702","6333","719","6139","247","844","1438","142","1528","1706","735","596","7091","481","387","714"
"publicpolygonfeature:5:59747","ZIP Code 78132","country:us/state:tx/zip:78132","78132","868","3028","32","188","1986","381","305","688","65","144","836","425","384","702","0","220","856","2476","70","549"
"publicpolygonfeature:5:59748","ZIP Code 78133","country:us/state:tx/zip:78133","78133","656","256","7","30","364","41","133","190","37","1","48","21","104","205","19","56","360","10","141","51"
"publicpolygonfeature:5:59749","ZIP Code 78140","country:us/state:tx/zip:78140","78140","40","6","14","0","7","275","17","12","0","4","404","51","0","6","37","2","81","0","0","63"
"publicpolygonfeature:5:59752","ZIP Code 78143","country:us/state:tx/zip:78143","78143",,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:59755","ZIP Code 78244","country:us/state:tx/zip:78244","78244","747","53","0","33","148","30","168","247","4","0","99","2","154","55","31","60","1391","2517","1","760"
"publicpolygonfeature:5:59756","ZIP Code 78148","country:us/state:tx/zip:78148","78148","1165","708","1","121","510","442","169","361","94","1","55","1","330","681","194","59","1560","127","16","83"
"publicpolygonfeature:5:59757","ZIP Code 78150","country:us/state:tx/zip:78150","78150","0","15","0","0","1","0","0","0","0","41","0","0","2","24","0","0","0","5","0","0"
"publicpolygonfeature:5:59759","ZIP Code 78152","country:us/state:tx/zip:78152","78152","21","0","0","1","70","0","0","19","0","0","34","41","5","11","40","1","22","0","0","22"
"publicpolygonfeature:5:59761","ZIP Code 78154","country:us/state:tx/zip:78154","78154","2635","881","101","117","2499","2441","338","1251","134","714","2224","11","1508","912","374","349","3876","3507","98","3788"
"publicpolygonfeature:5:59763","ZIP Code 78213","country:us/state:tx/zip:78213","78213","1357","2779","3","54","470","110","1113","9560","27","36","164","9","621","2317","89","509","1656","84","0","639"
"publicpolygonfeature:5:59765","ZIP Code 78155","country:us/state:tx/zip:78155","78155","1530","853","51","189","806","2086","310","2291","64","190","8671","762","370","498","652","198","2310","844","292","416"
"publicpolygonfeature:5:59766","ZIP Code 78201","country:us/state:tx/zip:78201","78201","1736","3556","3","202","686","698","832","3428","191","207","433","3","356","719","115","108","2842","480","2","708"
"publicpolygonfeature:5:59767","ZIP Code 78202","country:us/state:tx/zip:78202","78202","205","41","0","57","228","184","40","203","36","0","674","0","78","151","0","55","256","153","1","167"
"publicpolygonfeature:5:59768","ZIP Code 78160","country:us/state:tx/zip:78160","78160","39","0","10","0","49","198","12","24","1","0","52","263","3","1","28","5","93","1","4","5"
"publicpolygonfeature:5:59769","ZIP Code 78161","country:us/state:tx/zip:78161","78161","0","0","0","0","1","0","0","0","0","0","57","0","0","0","0","0","18","0","0","0"
"publicpolygonfeature:5:59771","ZIP Code 78203","country:us/state:tx/zip:78203","78203","200","27","0","1","106","126","13","85","2","0","173","0","63","10","0","52","19","42","0","6"
"publicpolygonfeature:5:59772","ZIP Code 78204","country:us/state:tx/zip:78204","78204","1054","246","1","33","103","3772","39","955","957","5348","1325","0","241","483","254","500","501","196","252","343"
"publicpolygonfeature:5:59773","ZIP Code 78163","country:us/state:tx/zip:78163","78163","365","165","8","12","917","157","58","439","49","2","80","5","122","327","0","49","276","31","0","55"
"publicpolygonfeature:5:59776","ZIP Code 78214","country:us/state:tx/zip:78214","78214","830","16","0","66","183","2751","78","2431","2","5","200","0","228","101","0","37","1233","52","0","105"
"publicpolygonfeature:5:59777","ZIP Code 78215","country:us/state:tx/zip:78215","78215","1900","103","0","805","49","1586","1038","1123","1589","265","782","28","284","1120","2","383","220","242","3440","170"
"publicpolygonfeature:5:59778","ZIP Code 78216","country:us/state:tx/zip:78216","78216","5797","8025","19","546","7953","779","5592","5826","992","515","3058","9","1569","6975","827","915","8065","2842","7","2700"
"publicpolygonfeature:5:59779","ZIP Code 78217","country:us/state:tx/zip:78217","78217","1618","5343","0","157","4405","9270","1505","5990","260","105","1185","38","845","2797","200","514","1878","1129","1","3189"
"publicpolygonfeature:5:59780","ZIP Code 78218","country:us/state:tx/zip:78218","78218","1961","1525","4","158","1165","136","924","1285","2046","4","2660","4","796","567","720","376","2781","6410","0","2491"
"publicpolygonfeature:5:59784","ZIP Code 78222","country:us/state:tx/zip:78222","78222","424","993","1","5","635","2738","6","1353","0","0","152","3","444","81","0","210","848","113","408","1341"
"publicpolygonfeature:5:59785","ZIP Code 78223","country:us/state:tx/zip:78223","78223","7136","171","140","151","647","61","261","1799","132","0","315","0","157","183","0","180","3807","134","0","148"
"publicpolygonfeature:5:59787","ZIP Code 78224","country:us/state:tx/zip:78224","78224","1594","125","0","39","82","1595","184","2008","23","19","35","4","123","62","0","196","3264","190","0","207"
"publicpolygonfeature:5:59788","ZIP Code 78225","country:us/state:tx/zip:78225","78225","241","10","0","0","32","0","21","108","0","0","612","0","17","22","0","11","174","29","0","20"
"publicpolygonfeature:5:59789","ZIP Code 78226","country:us/state:tx/zip:78226","78226","191","1263","3","5","508","59","14","134","1050","0","3237","4","97","1104","0","166","50","488","0","205"
"publicpolygonfeature:5:59790","ZIP Code 78227","country:us/state:tx/zip:78227","78227","1562","153","0","84","518","248","196","1212","33","27","546","0","555","511","0","146","1975","539","0","963"
"publicpolygonfeature:5:59791","ZIP Code 78228","country:us/state:tx/zip:78228","78228","1358","1559","3","111","482","1537","465","5360","6","46","87","3","250","432","238","163","1294","46","0","17"
"publicpolygonfeature:5:59793","ZIP Code 78231","country:us/state:tx/zip:78231","78231","682","420","10","40","329","109","328","831","78","10","16","1","140","548","80","140","843","8","0","29"
"publicpolygonfeature:5:59794","ZIP Code 78232","country:us/state:tx/zip:78232","78232","3674","3526","5","213","2858","285","1347","2985","244","381","238","178","1515","2561","135","498","3098","156","0","495"
"publicpolygonfeature:5:59795","ZIP Code 78233","country:us/state:tx/zip:78233","78233","1857","1664","0","307","2172","4726","2144","3054","1248","1","528","1","424","339","144","224","2941","999","0","893"
"publicpolygonfeature:5:59796","ZIP Code 78234","country:us/state:tx/zip:78234","78234","686","773","0","0","72","465","24","76","1","0","0","0","91","1027","1","66","114","0","0","4"
"publicpolygonfeature:5:59797","ZIP Code 78235","country:us/state:tx/zip:78235","78235","516","130","0","0","140","438","9","104","0","0","58","0","11","246","0","25","295","696","0","40"
"publicpolygonfeature:5:59798","ZIP Code 78236","country:us/state:tx/zip:78236","78236","1037","359","0","0","219","743","3","100","0","8","0","0","43","475","0","37","23","33","0","0"
"publicpolygonfeature:5:59799","ZIP Code 78245","country:us/state:tx/zip:78245","78245","2312","533","1","294","308","323","3722","1036","45","95","110","2","442","490","549","99","2683","78","1","239"
"publicpolygonfeature:5:59800","ZIP Code 78247","country:us/state:tx/zip:78247","78247","1267","1051","0","72","2021","43","150","1824","2607","32","471","107","392","1353","0","149","2504","625","0","841"
"publicpolygonfeature:5:59801","ZIP Code 78248","country:us/state:tx/zip:78248","78248","808","456","1","99","188","204","543","795","32","20","10","24","250","1290","465","201","333","24","0","273"
"publicpolygonfeature:5:59802","ZIP Code 78249","country:us/state:tx/zip:78249","78249","3583","4741","7","299","2365","3975","1124","6704","1346","4037","1231","33","906","4266","104","428","4088","175","4","1684"
"publicpolygonfeature:5:59803","ZIP Code 78250","country:us/state:tx/zip:78250","78250","1177","147","0","81","535","182","84","494","20","701","224","0","307","225","0","57","1298","18","0","131"
"publicpolygonfeature:5:59804","ZIP Code 78251","country:us/state:tx/zip:78251","78251","5190","1368","0","1832","252","277","9562","2672","950","17","941","0","556","517","1","382","1678","44","1","164"
"publicpolygonfeature:5:59806","ZIP Code 78252","country:us/state:tx/zip:78252","78252","391","108","295","0","57","2777","16","50","0","0","152","0","90","21","651","0","530","1572","3","0"
"publicpolygonfeature:5:59807","ZIP Code 78253","country:us/state:tx/zip:78253","78253","2266","158","35","57","224","143","74","1000","170","281","91","3","595","362","0","76","3181","216","1","166"
"publicpolygonfeature:5:59808","ZIP Code 78254","country:us/state:tx/zip:78254","78254","755","291","5","35","571","133","221","777","31","0","37","51","196","191","0","91","837","124","0","131"
"publicpolygonfeature:5:59809","ZIP Code 78260","country:us/state:tx/zip:78260","78260","310","260","0","72","657","61","83","353","15","15","84","72","227","568","0","150","417","32","4","149"
"publicpolygonfeature:5:59812","ZIP Code 78255","country:us/state:tx/zip:78255","78255","287","323","18","74","237","101","122","1164","11","8","4","0","165","310","0","85","305","71","2","29"
"publicpolygonfeature:5:59813","ZIP Code 78256","country:us/state:tx/zip:78256","78256","2237","832","3","106","144","39","393","644","9","981","8","37","173","243","1","270","2411","207","1","217"
"publicpolygonfeature:5:59814","ZIP Code 78257","country:us/state:tx/zip:78257","78257","2582","608","9","2792","218","40","282","1918","193","691","409","42","321","519","0","124","2869","132","0","516"
"publicpolygonfeature:5:59815","ZIP Code 78258","country:us/state:tx/zip:78258","78258","3201","1682","22","532","1950","493","3624","6576","889","14","189","132","1132","2352","3","751","2436","588","5","1017"
"publicpolygonfeature:5:59816","ZIP Code 78259","country:us/state:tx/zip:78259","78259","1281","578","8","372","916","143","1275","632","100","186","301","1022","170","1190","0","258","1004","37","0","312"
"publicpolygonfeature:5:59817","ZIP Code 78261","country:us/state:tx/zip:78261","78261","968","160","20","158","250","23","54","337","59","0","4","7","72","132","0","78","116","70","0","26"
"publicpolygonfeature:5:59818","ZIP Code 78263","country:us/state:tx/zip:78263","78263","96","131","1","44","777","0","30","65","0","0","709","6","67","106","13","32","33","134","0","244"
"publicpolygonfeature:5:59819","ZIP Code 78264","country:us/state:tx/zip:78264","78264","433","451","3","14","188","0","136","111","0","30","8102","91","144","40","2","9","237","708","0","88"
"publicpolygonfeature:5:59820","ZIP Code 78266","country:us/state:tx/zip:78266","78266","95","161","7","377","1580","17","115","74","11","11","702","2","125","215","40","19","132","441","0","263"
"publicpolygonfeature:5:59944","ZIP Code 78606","country:us/state:tx/zip:78606","78606","228","32","116","2","291","250","30","53","28","0","149","10","61","74","39","16","222","38","6","21"
"publicpolygonfeature:5:59964","ZIP Code 78623","country:us/state:tx/zip:78623","78623","0","6","8","0","106","0","1","1","1","0","0","0","3","6","0","4","8","0","0","0"
"publicpolygonfeature:5:59978","ZIP Code 78638","country:us/state:tx/zip:78638","78638","9","3","40","8","60","0","0","0","0","0","35","0","15","8","0","0","2","20","0","2"
"publicpolygonfeature:5:59986","ZIP Code 78670","country:us/state:tx/zip:78670","78670",,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","205","11","83","35","161","0","45","618","6","0","56","152","30","41","60","14","541","18","13","97"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","42","21","7","16","63","1","0","44","13","3","7","0","4","3","13","18","71","9","8","13"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","6217","1737","25","405","1949","8689","459","4430","770","712","2878","51","736","987","1666","958","6415","4958","195","591"
"publicpolygonfeature:5:60048","ZIP Code 78885","country:us/state:tx/zip:78885","78885","6","5","6","1","6","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0"
"publicpolygonfeature:5:60065","ZIP Code 78850","country:us/state:tx/zip:78850","78850","14","0","12","0","16","59","0","0","7","0","17","0","0","2","0","7","18","0","2","2"
"publicpolygonfeature:5:60069","ZIP Code 78861","country:us/state:tx/zip:78861","78861","310","101","128","11","269","339","124","533","15","0","39","66","176","75","251","20","432","207","75","217"
"publicpolygonfeature:5:60076","ZIP Code 78883","country:us/state:tx/zip:78883","78883","35","0","7","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"publicpolygonfeature:5:60082","ZIP Code 78884","country:us/state:tx/zip:78884","78884","32","2","48","0","35","0","1","0","0","0","9","1","0","2","18","2","12","0","5","28"
"publicpolygonfeature:5:60084","ZIP Code 78886","country:us/state:tx/zip:78886","78886","0","0","3","0","9","0","0","0","0","0","0","0","2","0","0","1","0","0","10","0"
"publicpolygonfeature:5:6681111","ZIP Code 78074","country:us/state:tx/zip:78074","78074","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0"
"publicpolygonfeature:5:6696879","ZIP Code 78062","country:us/state:tx/zip:78062","78062",,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:22:928641","San Antonio-New Braunfels, TX Area","country:us/state:tx/msa:san_antonio-new_braunfels","41700","124788","78268","2254","20525","66729","112374","78720","179949","19941","18219","61344","9001","32172","71501","26023","19260","124914","44053","8017","40260"