"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","186"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","2198"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","692"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","521"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","67449"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","10645"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","7477"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","12091"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","13235"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","30828"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","14415"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","7263"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","4179"
"publicpolygonfeature:5:45516","ZIP Code 40052","country:us/state:ky/zip:40052","40052","21"
"publicpolygonfeature:5:45527","ZIP Code 40211","country:us/state:ky/zip:40211","40211","6083"
"publicpolygonfeature:5:45530","ZIP Code 40212","country:us/state:ky/zip:40212","40212","1377"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","424"
"publicpolygonfeature:5:45542","ZIP Code 40056","country:us/state:ky/zip:40056","40056","320"
"publicpolygonfeature:5:45544","ZIP Code 40067","country:us/state:ky/zip:40067","40067","2992"
"publicpolygonfeature:5:45551","ZIP Code 40218","country:us/state:ky/zip:40218","40218","46319"
"publicpolygonfeature:5:45667","ZIP Code 40003","country:us/state:ky/zip:40003","40003","110"
"publicpolygonfeature:5:45669","ZIP Code 40007","country:us/state:ky/zip:40007","40007","1"
"publicpolygonfeature:5:45670","ZIP Code 40004","country:us/state:ky/zip:40004","40004","16722"
"publicpolygonfeature:5:45671","ZIP Code 40010","country:us/state:ky/zip:40010","40010","1368"
"publicpolygonfeature:5:45672","ZIP Code 40008","country:us/state:ky/zip:40008","40008","384"
"publicpolygonfeature:5:45674","ZIP Code 40011","country:us/state:ky/zip:40011","40011","356"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","96"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","116"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","318"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","1021"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","161"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","3442"
"publicpolygonfeature:5:45681","ZIP Code 40019","country:us/state:ky/zip:40019","40019","906"
"publicpolygonfeature:5:45682","ZIP Code 40020","country:us/state:ky/zip:40020","40020","3"
"publicpolygonfeature:5:45683","ZIP Code 40031","country:us/state:ky/zip:40031","40031","10071"
"publicpolygonfeature:5:45684","ZIP Code 40036","country:us/state:ky/zip:40036","40036","27"
"publicpolygonfeature:5:45686","ZIP Code 40228","country:us/state:ky/zip:40228","40228","3226"
"publicpolygonfeature:5:45687","ZIP Code 40046","country:us/state:ky/zip:40046","40046","16"
"publicpolygonfeature:5:45688","ZIP Code 40047","country:us/state:ky/zip:40047","40047","3326"
"publicpolygonfeature:5:45691","ZIP Code 40050","country:us/state:ky/zip:40050","40050","632"
"publicpolygonfeature:5:45692","ZIP Code 40051","country:us/state:ky/zip:40051","40051","561"
"publicpolygonfeature:5:45693","ZIP Code 40057","country:us/state:ky/zip:40057","40057","123"
"publicpolygonfeature:5:45694","ZIP Code 40058","country:us/state:ky/zip:40058","40058","104"
"publicpolygonfeature:5:45695","ZIP Code 40059","country:us/state:ky/zip:40059","40059","4350"
"publicpolygonfeature:5:45699","ZIP Code 40068","country:us/state:ky/zip:40068","40068","252"
"publicpolygonfeature:5:45700","ZIP Code 40065","country:us/state:ky/zip:40065","40065","12681"
"publicpolygonfeature:5:45702","ZIP Code 40070","country:us/state:ky/zip:40070","40070","53"
"publicpolygonfeature:5:45703","ZIP Code 40071","country:us/state:ky/zip:40071","40071","2166"
"publicpolygonfeature:5:45704","ZIP Code 40075","country:us/state:ky/zip:40075","40075","31"
"publicpolygonfeature:5:45705","ZIP Code 40076","country:us/state:ky/zip:40076","40076","329"
"publicpolygonfeature:5:45706","ZIP Code 40077","country:us/state:ky/zip:40077","40077","73"
"publicpolygonfeature:5:45707","ZIP Code 40108","country:us/state:ky/zip:40108","40108","4508"
"publicpolygonfeature:5:45709","ZIP Code 40104","country:us/state:ky/zip:40104","40104","132"
"publicpolygonfeature:5:45710","ZIP Code 40107","country:us/state:ky/zip:40107","40107","292"
"publicpolygonfeature:5:45711","ZIP Code 40109","country:us/state:ky/zip:40109","40109","1926"
"publicpolygonfeature:5:45712","ZIP Code 40110","country:us/state:ky/zip:40110","40110","658"
"publicpolygonfeature:5:45714","ZIP Code 40121","country:us/state:ky/zip:40121","40121","1899"
"publicpolygonfeature:5:45716","ZIP Code 40142","country:us/state:ky/zip:40142","40142","44"
"publicpolygonfeature:5:45719","ZIP Code 40161","country:us/state:ky/zip:40161","40161","1"
"publicpolygonfeature:5:45723","ZIP Code 40150","country:us/state:ky/zip:40150","40150","813"
"publicpolygonfeature:5:45725","ZIP Code 40155","country:us/state:ky/zip:40155","40155","317"
"publicpolygonfeature:5:45726","ZIP Code 40157","country:us/state:ky/zip:40157","40157","37"
"publicpolygonfeature:5:45731","ZIP Code 40165","country:us/state:ky/zip:40165","40165","21700"
"publicpolygonfeature:5:45732","ZIP Code 40175","country:us/state:ky/zip:40175","40175","757"
"publicpolygonfeature:5:45733","ZIP Code 40176","country:us/state:ky/zip:40176","40176","43"
"publicpolygonfeature:5:45734","ZIP Code 40177","country:us/state:ky/zip:40177","40177","68"
"publicpolygonfeature:5:45735","ZIP Code 40213","country:us/state:ky/zip:40213","40213","40426"
"publicpolygonfeature:5:45736","ZIP Code 40214","country:us/state:ky/zip:40214","40214","15861"
"publicpolygonfeature:5:45737","ZIP Code 40215","country:us/state:ky/zip:40215","40215","3761"
"publicpolygonfeature:5:45738","ZIP Code 40216","country:us/state:ky/zip:40216","40216","10924"
"publicpolygonfeature:5:45739","ZIP Code 40217","country:us/state:ky/zip:40217","40217","7448"
"publicpolygonfeature:5:45740","ZIP Code 40219","country:us/state:ky/zip:40219","40219","22320"
"publicpolygonfeature:5:45741","ZIP Code 40220","country:us/state:ky/zip:40220","40220","9533"
"publicpolygonfeature:5:45742","ZIP Code 40222","country:us/state:ky/zip:40222","40222","19946"
"publicpolygonfeature:5:45743","ZIP Code 40223","country:us/state:ky/zip:40223","40223","33738"
"publicpolygonfeature:5:45744","ZIP Code 40229","country:us/state:ky/zip:40229","40229","8747"
"publicpolygonfeature:5:45745","ZIP Code 40231","country:us/state:ky/zip:40231","40231","18"
"publicpolygonfeature:5:45746","ZIP Code 40241","country:us/state:ky/zip:40241","40241","21342"
"publicpolygonfeature:5:45747","ZIP Code 40242","country:us/state:ky/zip:40242","40242","1330"
"publicpolygonfeature:5:45748","ZIP Code 40243","country:us/state:ky/zip:40243","40243","6991"
"publicpolygonfeature:5:45749","ZIP Code 40245","country:us/state:ky/zip:40245","40245","10208"
"publicpolygonfeature:5:45750","ZIP Code 40258","country:us/state:ky/zip:40258","40258","14780"
"publicpolygonfeature:5:45751","ZIP Code 40272","country:us/state:ky/zip:40272","40272","5270"
"publicpolygonfeature:5:45752","ZIP Code 40280","country:us/state:ky/zip:40280","40280","17"
"publicpolygonfeature:5:45754","ZIP Code 40291","country:us/state:ky/zip:40291","40291","5565"
"publicpolygonfeature:5:45755","ZIP Code 40299","country:us/state:ky/zip:40299","40299","36494"
"publicpolygonfeature:5:47979","ZIP Code 47104","country:us/state:in/zip:47104","47104",
"publicpolygonfeature:5:47982","ZIP Code 47114","country:us/state:in/zip:47114","47114","3"
"publicpolygonfeature:5:47986","ZIP Code 47120","country:us/state:in/zip:47120","47120","106"
"publicpolygonfeature:5:47988","ZIP Code 47106","country:us/state:in/zip:47106","47106","1124"
"publicpolygonfeature:5:47989","ZIP Code 47108","country:us/state:in/zip:47108","47108","520"
"publicpolygonfeature:5:47990","ZIP Code 47110","country:us/state:in/zip:47110","47110","13"
"publicpolygonfeature:5:47992","ZIP Code 47111","country:us/state:in/zip:47111","47111","3139"
"publicpolygonfeature:5:47993","ZIP Code 47112","country:us/state:in/zip:47112","47112","6772"
"publicpolygonfeature:5:47994","ZIP Code 47115","country:us/state:in/zip:47115","47115","281"
"publicpolygonfeature:5:47996","ZIP Code 47122","country:us/state:in/zip:47122","47122","1406"
"publicpolygonfeature:5:47998","ZIP Code 47117","country:us/state:in/zip:47117","47117","1106"
"publicpolygonfeature:5:47999","ZIP Code 47124","country:us/state:in/zip:47124","47124","433"
"publicpolygonfeature:5:48000","ZIP Code 47125","country:us/state:in/zip:47125","47125","119"
"publicpolygonfeature:5:48003","ZIP Code 47119","country:us/state:in/zip:47119","47119","2790"
"publicpolygonfeature:5:48005","ZIP Code 47126","country:us/state:in/zip:47126","47126","625"
"publicpolygonfeature:5:48006","ZIP Code 47129","country:us/state:in/zip:47129","47129","11445"
"publicpolygonfeature:5:48007","ZIP Code 47130","country:us/state:in/zip:47130","47130","34221"
"publicpolygonfeature:5:48008","ZIP Code 47142","country:us/state:in/zip:47142","47142","109"
"publicpolygonfeature:5:48009","ZIP Code 47135","country:us/state:in/zip:47135","47135","69"
"publicpolygonfeature:5:48010","ZIP Code 47136","country:us/state:in/zip:47136","47136","328"
"publicpolygonfeature:5:48015","ZIP Code 47141","country:us/state:in/zip:47141","47141","46"
"publicpolygonfeature:5:48018","ZIP Code 47143","country:us/state:in/zip:47143","47143","426"
"publicpolygonfeature:5:48020","ZIP Code 47162","country:us/state:in/zip:47162","47162","145"
"publicpolygonfeature:5:48021","ZIP Code 47147","country:us/state:in/zip:47147","47147","142"
"publicpolygonfeature:5:48022","ZIP Code 47150","country:us/state:in/zip:47150","47150","27654"
"publicpolygonfeature:5:48023","ZIP Code 47160","country:us/state:in/zip:47160","47160",
"publicpolygonfeature:5:48024","ZIP Code 47161","country:us/state:in/zip:47161","47161","581"
"publicpolygonfeature:5:48026","ZIP Code 47163","country:us/state:in/zip:47163","47163","162"
"publicpolygonfeature:5:48027","ZIP Code 47164","country:us/state:in/zip:47164","47164","426"
"publicpolygonfeature:5:48028","ZIP Code 47165","country:us/state:in/zip:47165","47165","506"
"publicpolygonfeature:5:48029","ZIP Code 47166","country:us/state:in/zip:47166","47166","410"
"publicpolygonfeature:5:48031","ZIP Code 47167","country:us/state:in/zip:47167","47167","4331"
"publicpolygonfeature:5:48033","ZIP Code 47170","country:us/state:in/zip:47170","47170","5587"
"publicpolygonfeature:5:48035","ZIP Code 47172","country:us/state:in/zip:47172","47172","5979"
"publicpolygonfeature:5:48037","ZIP Code 47177","country:us/state:in/zip:47177","47177","61"
"publicpolygonfeature:5:48075","ZIP Code 47281","country:us/state:in/zip:47281","47281","71"
"publicpolygonfeature:5:6672668","ZIP Code 40221","country:us/state:ky/zip:40221","40221",
"publicpolygonfeature:22:928417","Louisville/Jefferson County, KY-IN Area","country:us/state:ky/msa:louisville_jefferson_county","31140","702791"